Model,Accuracy,Malignant Precision,Malignant Recall,Malignant F1,pAUC
Weighted,0.979142771655114,0.017554479418886198,0.3670886075949367,0.033506643558636626,0.10497159232270017
Weighted + ISIC Archive,0.9897272228594225,0.03026481715006305,0.3037974683544304,0.05504587155963303,0.10349998823159025
Weighted + Aug + Erasing,0.9889792051064679,0.030338389731621937,0.3291139240506329,0.05555555555555555,0.08620197402830448
Weighted + Augmented,0.9881688525407669,0.02092511013215859,0.24050632911392406,0.03850050658561297,0.06765840397933369
Focal Loss,0.9983543609434997,0.05084745762711865,0.0379746835443038,0.043478260869565216,0.0546141091069009
Manual Weights,0.9797037849698299,0.0006447453255963894,0.012658227848101266,0.001226993865030675,0.014557285854039804
